age,employment,gender,race,household_income,education,state,vote_trump
53,1,0,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,0
30,1,1,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,1
28,0,0,1,"$15,000 to $19,999",High school graduate,KY,1
62,1,0,1,"$25,000 to $29,999","Completed some college, but no degree",MD,1
61,1,0,1,"$45,000 to $49,999","Completed some graduate, but no degree",IL,0
33,0,1,0,"Less than $14,999",High school graduate,IL,0
68,0,0,1,"$40,000 to $44,999",More than College,MO,0
52,1,0,1,"$175,000 to $199,999",More than College,FL,1
39,0,0,1,"Less than $14,999","College Degree (such as B.A., B.S.)",CA,1
73,0,0,1,"$95,000 to $99,999","Completed some college, but no degree",MT,0
38,1,0,0,"$15,000 to $19,999",Completed some high school,WI,0
50,0,1,1,"$125,000 to $149,999",High school graduate,SC,0
61,0,0,1,"$50,000 to $54,999","Completed some graduate, but no degree",IL,1
63,0,0,1,"$150,000 to $174,999","Completed some college, but no degree",MO,0
67,0,0,1,"$70,000 to $74,999","Completed some college, but no degree",TX,1
35,0,1,0,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MO,0
52,0,1,0,"$20,000 to $24,999","Completed some college, but no degree",TN,0
25,0,0,1,"$55,000 to $59,999","Completed some graduate, but no degree",UT,0
44,0,1,1,"$45,000 to $49,999","Completed some graduate, but no degree",MN,0
69,0,0,1,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",NJ,0
26,0,1,0,"Less than $14,999",High school graduate,CO,0
74,0,0,1,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",SC,0
65,0,0,1,"$50,000 to $54,999","Completed some graduate, but no degree",GA,1
39,1,0,1,"$35,000 to $39,999",More than College,CA,0
50,0,0,1,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,1
68,0,0,1,"$70,000 to $74,999",High school graduate,WV,1
18,0,1,1,"$35,000 to $39,999","Completed some college, but no degree",FL,0
51,1,0,0,"$45,000 to $49,999",High school graduate,IL,0
56,1,0,1,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NE,1
51,0,0,1,"$15,000 to $19,999",High school graduate,MI,1
24,0,0,0,"$50,000 to $54,999",Completed some high school,UT,1
68,0,0,1,"$125,000 to $149,999","Completed some graduate, but no degree",FL,1
28,1,0,1,"$40,000 to $44,999",High school graduate,OR,0
62,0,0,1,"$70,000 to $74,999","Completed some graduate, but no degree",AZ,0
73,0,0,1,"$25,000 to $29,999",High school graduate,TN,1
55,0,1,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MA,0
58,1,0,1,"$100,000 to $124,999","Completed some college, but no degree",IL,1
34,1,1,1,"$55,000 to $59,999",More than College,IN,0
66,0,0,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,0
30,1,1,1,"$75,000 to $79,999","Completed some college, but no degree",TX,0
31,0,0,0,"$75,000 to $79,999",More than College,TX,0
74,0,0,1,"$30,000 to $34,999",High school graduate,NY,0
33,1,1,1,"$15,000 to $19,999",High school graduate,CO,1
37,1,0,0,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",HI,0
55,0,1,1,"$60,000 to $64,999",Completed some high school,CA,0
23,1,1,1,"$40,000 to $44,999",More than College,CA,0
63,1,0,1,"$175,000 to $199,999",More than College,CA,0
41,1,1,1,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",CA,1
54,0,0,1,"$35,000 to $39,999","Completed some college, but no degree",NY,1
41,1,1,0,"$45,000 to $49,999","Completed some college, but no degree",DC,0
73,0,0,1,"$70,000 to $74,999",More than College,FL,0
44,1,1,1,"$175,000 to $199,999",More than College,TX,1
28,1,0,1,"Less than $14,999",High school graduate,IN,0
44,1,1,1,"$200,000 to $249,999",More than College,NY,1
40,0,1,1,"$20,000 to $24,999","Completed some graduate, but no degree",GA,1
23,0,1,0,"$70,000 to $74,999",High school graduate,NY,0
32,1,0,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",OH,0
39,1,1,1,"$200,000 to $249,999",More than College,CO,0
28,0,0,1,"Less than $14,999",Completed some high school,IL,1
32,0,1,1,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",NJ,0
57,0,1,1,"$40,000 to $44,999",High school graduate,IL,0
32,1,1,0,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MN,1
41,1,1,1,"$125,000 to $149,999",More than College,GA,0
54,0,0,1,"$20,000 to $24,999",High school graduate,MO,1
24,1,1,1,"Less than $14,999",High school graduate,KS,0
19,0,1,0,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",WA,1
42,1,0,0,"$80,000 to $84,999",More than College,CA,0
18,0,0,1,"$100,000 to $124,999","Completed some college, but no degree",CA,0
56,1,1,1,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",PA,1
42,1,1,1,"$200,000 to $249,999",More than College,CA,1
70,0,1,1,"$35,000 to $39,999",More than College,AZ,0
19,0,1,1,"Less than $14,999",High school graduate,OH,1
40,0,1,0,"$25,000 to $29,999",Completed some high school,MO,0
57,1,1,1,"$75,000 to $79,999","Completed some college, but no degree",WI,0
40,1,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,1
58,1,1,0,"$65,000 to $69,999",High school graduate,SC,0
30,0,0,1,"$50,000 to $54,999","Completed some college, but no degree",WI,1
38,1,1,1,"$125,000 to $149,999",More than College,PA,0
27,1,1,1,"Less than $14,999",High school graduate,NY,0
26,1,0,1,"$20,000 to $24,999",High school graduate,OH,0
38,1,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MN,0
19,0,1,1,"Less than $14,999",High school graduate,NM,0
42,1,1,1,"Less than $14,999",Completed some high school,OH,0
34,1,1,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NH,0
38,1,0,1,"$35,000 to $39,999",High school graduate,MI,0
21,0,0,1,"Less than $14,999",Completed some high school,CO,0
40,1,1,1,"$175,000 to $199,999",More than College,VA,1
24,0,1,0,"Less than $14,999",High school graduate,LA,0
45,0,0,0,"Less than $14,999",Completed some high school,MI,0
19,0,0,0,"$50,000 to $54,999","Completed some college, but no degree",PA,0
65,0,0,1,"$100,000 to $124,999",More than College,CA,0
61,0,0,1,"$20,000 to $24,999",High school graduate,AZ,1
40,1,1,1,"$250,000 and above","College Degree (such as B.A., B.S.)",KY,1
37,1,0,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NV,0
20,0,1,1,"$15,000 to $19,999","Completed some college, but no degree",IL,0
42,1,1,1,"$200,000 to $249,999",More than College,NY,0
19,1,0,0,"$65,000 to $69,999","Completed some graduate, but no degree",GA,0
45,1,1,1,"$150,000 to $174,999",More than College,VA,0
67,0,0,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",IN,1
29,0,1,0,"$35,000 to $39,999",Completed some high school,MD,0
68,0,0,1,"$50,000 to $54,999","Completed some graduate, but no degree",CA,0
54,0,1,1,"$25,000 to $29,999","Completed some college, but no degree",TX,0
31,1,1,0,"$250,000 and above",More than College,NJ,0
43,0,1,1,"$30,000 to $34,999","Completed some graduate, but no degree",FL,0
42,0,1,0,"Less than $14,999",Completed some high school,TX,1
77,0,0,1,"$100,000 to $124,999","Completed some college, but no degree",PA,0
64,0,0,1,"Less than $14,999",High school graduate,OH,0
41,1,1,1,"$200,000 to $249,999",More than College,WI,1
19,1,1,0,"Less than $14,999",High school graduate,FL,0
62,0,1,1,"Less than $14,999","Completed some college, but no degree",MI,0
19,0,0,0,"Less than $14,999","Completed some college, but no degree",VA,1
20,0,1,1,"$45,000 to $49,999",High school graduate,VA,1
30,1,1,1,"$40,000 to $44,999","Completed some graduate, but no degree",CA,0
19,1,1,1,"Less than $14,999","Completed some college, but no degree",IA,0
42,1,1,1,"$200,000 to $249,999",More than College,OH,1
42,1,1,1,"$60,000 to $64,999",High school graduate,VA,1
61,0,1,1,"$25,000 to $29,999",Completed some high school,MI,0
22,0,0,1,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",MA,0
39,1,1,1,"$200,000 to $249,999",More than College,NJ,1
66,0,0,1,"$75,000 to $79,999",More than College,CA,0
38,0,1,1,"Less than $14,999",Completed some high school,TN,1
45,0,0,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CA,0
35,1,1,1,"$200,000 to $249,999",More than College,NY,0
25,1,1,1,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MO,0
35,0,0,1,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",OH,1
25,0,1,0,"Less than $14,999","Completed some graduate, but no degree",TX,0
70,0,1,0,"$125,000 to $149,999",High school graduate,MD,0
82,0,0,1,"$45,000 to $49,999","Completed some college, but no degree",AZ,0
70,0,1,1,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",OH,1
50,1,1,1,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",ME,1
20,1,1,1,"Less than $14,999",High school graduate,CA,0
35,1,1,1,"$200,000 to $249,999",More than College,NJ,1
20,0,0,0,"$20,000 to $24,999",High school graduate,CA,0
24,0,0,1,"$35,000 to $39,999",High school graduate,OH,0
56,0,1,1,"$50,000 to $54,999","Completed some college, but no degree",WI,1
30,1,1,0,"$30,000 to $34,999",More than College,AL,0
51,1,1,1,"$30,000 to $34,999","Completed some college, but no degree",SC,1
